caldt,t30ret
2002-07-31,0.001507
2002-08-30,0.001402
2002-09-30,0.001414
2002-10-31,0.001334
2002-11-29,0.0011660000000000002
2002-12-31,0.0010789999999999999
2003-01-31,0.0009339999999999999
2003-02-28,0.0008710000000000001
2003-03-31,0.0010199999999999999
2003-04-30,0.000939
2003-05-30,0.0009029999999999999
2003-06-30,0.000984
2003-07-31,0.000674
2003-08-29,0.0006889999999999999
2003-09-30,0.000865
2003-10-31,0.0007
2003-11-28,0.0007250000000000001
2003-12-31,0.000831
2004-01-30,0.000696
2004-02-27,0.0006230000000000001
2004-03-31,0.0008439999999999999
2004-04-30,0.000795
2004-05-28,0.000603
2004-06-30,0.000817
2004-07-30,0.000919
2004-08-31,0.001116
2004-09-30,0.001185
2004-10-29,0.001129
2004-11-30,0.001541
2004-12-31,0.0016719999999999999
2005-01-31,0.001661
2005-02-28,0.001641
2005-03-31,0.0021230000000000003
2005-04-29,0.002072
2005-05-31,0.002395
2005-06-30,0.0022630000000000003
2005-07-29,0.0023829999999999997
2005-08-31,0.0029200000000000003
2005-09-30,0.0028480000000000003
2005-10-31,0.002728
2005-11-30,0.0030450000000000004
2005-12-30,0.00316
2006-01-31,0.003488
2006-02-28,0.0033220000000000003
2006-03-31,0.003642
2006-04-28,0.0035590000000000005
2006-05-31,0.004195
2006-06-30,0.00397
2006-07-31,0.0039759999999999995
2006-08-31,0.0042829999999999995
2006-09-29,0.004047
2006-10-31,0.004076000000000001
2006-11-30,0.004243
2006-12-29,0.0040360000000000005
2007-01-31,0.004328
2007-02-28,0.0038369999999999997
2007-03-30,0.004257
2007-04-30,0.0043479999999999994
2007-05-31,0.004046
2007-06-29,0.0039180000000000005
2007-07-31,0.003961999999999999
2007-08-31,0.0042049999999999995
2007-09-28,0.0033469999999999997
2007-10-31,0.0032119999999999996
2007-11-30,0.0033950000000000004
2007-12-31,0.002921
2008-01-31,0.0024300000000000003
2008-02-29,0.001325
2008-03-31,0.001869
2008-04-30,0.001025
2008-05-30,0.0009460000000000001
2008-06-30,0.00175
2008-07-31,0.00144
2008-08-29,0.0012820000000000002
2008-09-30,0.00153
2008-10-31,0.0007920000000000001
2008-11-28,0.00022799999999999999
2008-12-31,2.9e-05
2009-01-30,2.3e-05
2009-02-27,0.000147
2009-03-31,0.00015900000000000002
2009-04-30,0.000125
2009-05-29,1.7e-05
2009-06-30,7.5e-05
2009-07-31,0.00011899999999999999
2009-08-31,0.00011599999999999999
2009-09-30,7.900000000000001e-05
2009-10-30,4e-05
2009-11-30,4e-06
2009-12-31,6.2e-05
2010-01-29,2.8000000000000003e-05
2010-02-26,1e-05
2010-03-31,6.8e-05
2010-04-30,0.00011100000000000001
2010-05-28,0.00011200000000000001
2010-06-30,0.000127
2010-07-30,0.00014199999999999998
2010-08-31,0.000126
2010-09-30,0.000125
2010-10-29,0.00011200000000000001
2010-11-30,0.00011399999999999999
2010-12-31,0.00014
2011-01-31,6.599999999999999e-05
2011-02-28,0.000122
2011-03-31,6.7e-05
2011-04-29,5.3e-05
2011-05-31,1.3000000000000001e-05
2011-06-30,3.5e-05
2011-07-29,-2.8000000000000003e-05
2011-08-31,8.3e-05
2011-09-30,-1e-06
2011-10-31,1.4000000000000001e-05
2011-11-30,4e-06
2011-12-30,0.0
2012-01-31,-2e-06
2012-02-29,3.1e-05
2012-03-30,4.6e-05
2012-04-30,2.9e-05
2012-05-31,6.500000000000001e-05
2012-06-29,2.2e-05
2012-07-31,3.2e-05
2012-08-31,5e-05
2012-09-28,6.7e-05
2012-10-31,3.7e-05
2012-11-30,8.499999999999999e-05
2012-12-31,0.000103
2013-01-31,2.2e-05
2013-02-28,5.4000000000000005e-05
2013-03-28,4.1e-05
2013-04-30,3.7e-05
2013-05-31,1.2e-05
2013-06-28,1.3000000000000001e-05
2013-07-31,9e-06
2013-08-30,9e-06
2013-09-30,8e-06
2013-10-31,1.7e-05
2013-11-29,3.2e-05
2013-12-31,2.3e-05
2014-01-31,1.2e-05
2014-02-28,4.5e-05
2014-03-31,2.8000000000000003e-05
2014-04-30,1.5e-05
2014-05-30,8e-06
2014-06-30,2e-05
2014-07-31,1.3000000000000001e-05
2014-08-29,3e-06
2014-09-30,4e-06
2014-10-31,1.2e-05
2014-11-28,-1e-06
2014-12-31,5e-06
2015-01-30,1.3000000000000001e-05
2015-02-27,-2.1e-05
2015-03-31,-8e-06
2015-04-30,2.9e-05
2015-05-29,-5e-06
2015-06-30,4e-06
2015-07-31,-3.7e-05
2015-08-31,2.7000000000000002e-05
2015-09-30,-6e-06
2015-10-30,-2.7000000000000002e-05
2015-11-30,2e-05
2015-12-31,0.000103
2016-01-29,3.7e-05
2016-02-29,0.000205
2016-03-31,0.00018999999999999998
2016-04-29,5.1e-05
2016-05-31,0.00011499999999999999
2016-06-30,0.000188
2016-07-29,0.000171
2016-08-31,0.000165
2016-09-30,0.00021899999999999998
2016-10-31,0.00016800000000000002
2016-11-30,0.000136
2016-12-30,0.000239
2017-01-31,0.00035800000000000003
2017-02-28,0.000364
2017-03-31,0.00035299999999999996
2017-04-28,0.000537
2017-05-31,0.0006140000000000001
2017-06-30,0.000617
2017-07-31,0.000722
2017-08-31,0.0008269999999999999
2017-09-29,0.000944
2017-10-31,0.00084
2017-11-30,0.000826
2017-12-29,0.000884
2018-01-31,0.001121
2018-02-28,0.0010730000000000002
2018-03-29,0.000261
2018-04-30,0.001433
2018-05-31,0.001401
2018-06-29,0.0014080000000000002
2018-07-31,0.001558
2018-08-31,0.001575
2018-09-28,0.00149
2018-10-31,0.00189
2018-11-30,0.0017950000000000004
2018-12-31,0.00193
2019-01-31,0.0019199999999999998
2019-02-28,0.001809
2019-03-29,0.001935
2019-04-30,0.002125
2019-05-31,0.001983
2019-06-28,0.001853
2019-07-31,0.0017829999999999999
2019-08-30,0.001908
2019-09-30,0.0017870000000000004
2019-10-31,0.001531
2019-11-29,0.001197
2019-12-31,0.0014310000000000002
2020-01-31,0.001164
2020-02-28,0.001208
2020-03-31,0.001268
2020-04-30,3e-06
2020-05-29,5.9e-05
2020-06-30,0.00011100000000000001
2020-07-31,9.6e-05
2020-08-31,7.900000000000001e-05
2020-09-30,7.599999999999999e-05
2020-10-30,7.3e-05
2020-11-30,6.599999999999999e-05
2020-12-31,6e-05
2021-01-29,4.6e-05
2021-02-26,4.5e-05
2021-03-31,2.7000000000000002e-05
2021-04-30,1.4000000000000001e-05
2021-05-28,5e-06
2021-06-30,4e-06
2021-07-30,3.1e-05
2021-08-31,4.9e-05
2021-09-30,3.3e-05
2021-10-29,3.7e-05
2021-11-30,4.4e-05
2021-12-31,6.7e-05
2022-01-31,4.4e-05
2022-02-28,2.8000000000000003e-05
2022-03-31,6e-05
2022-04-29,3.7e-05
2022-05-31,0.00030700000000000004
2022-06-30,0.000567
2022-07-29,0.0008119999999999999
2022-08-31,0.001901
2022-09-30,0.001929
2022-10-31,0.002327
2022-11-30,0.002856
2022-12-30,0.003379
2023-01-31,0.0035060000000000004
2023-02-28,0.0034500000000000004
2023-03-31,0.003638
2023-04-28,0.00364
2023-05-31,0.003662
2023-06-30,0.004078
2023-07-31,0.004391
2023-08-31,0.004536999999999999
2023-09-29,0.004267
2023-10-31,0.004715
2023-11-30,0.004424
2023-12-29,0.004266000000000001
2024-01-31,0.0047290000000000006
2024-02-29,0.004224
2024-03-28,0.004157
2024-04-30,0.004864
2024-05-31,0.0044150000000000005
2024-06-28,0.004125
2024-07-31,0.004711
2024-08-30,0.004419
2024-09-30,0.004619000000000001
2024-10-31,0.003907
2024-11-29,0.003954999999999999
2024-12-31,0.0036630000000000005
