,MKTbond,Term Factor,Default Factor
2002-07-31,0.004339167091834076,0.0288,-0.020900000000000002
2002-08-31,0.032356854710668466,0.045,-0.0011999999999999997
2002-09-30,0.00748006922910564,0.0403,-0.0087
2002-10-31,-0.004138846120143166,-0.030799999999999998,0.0053999999999999986
2002-11-30,0.03698397959361732,-0.0134,0.0252
2002-12-31,0.019097438318784733,0.049600000000000005,-0.014600000000000002
2003-01-31,0.02402814240864753,-0.0116,0.0127
2003-02-28,0.015499356136878174,0.032,-0.006499999999999999
2003-03-31,0.012595636585553023,-0.014499999999999999,0.0055
2003-04-30,0.03709088968550297,0.0092,0.0127
2003-05-31,0.026912099189420065,0.058300000000000005,-0.0121
2003-06-30,0.013520891554469372,-0.0164,0.0011000000000000003
2003-07-31,-0.02397415005320396,-0.0989,0.010099999999999998
2003-08-31,0.0029814844102681055,0.0159,0.005299999999999999
2003-09-30,0.03272554741919563,0.0538,-0.004300000000000005
2003-10-31,0.004256559651345791,-0.028999999999999998,0.008
2003-11-30,0.011217851660535239,-0.0034000000000000002,0.0079
2003-12-31,0.010864147210368208,0.013099999999999999,0.0
2004-01-31,0.0147677333083012,0.018000000000000002,0.0
2004-02-29,0.007307475482782133,0.0224,-0.0052
2004-03-31,0.008455088825306196,0.0132,-0.0023
2004-04-30,-0.019094501562751262,-0.0596,0.005399999999999995
2004-05-31,-0.00945552356487829,-0.0057,-0.002
2004-06-30,0.008971737680686853,0.0113,-0.0028000000000000004
2004-07-31,0.01080690771818367,0.014499999999999999,0.0029
2004-08-31,0.021949799555739995,0.038400000000000004,0.0
2004-09-30,0.00848902994937507,0.008499999999999999,0.0005000000000000004
2004-10-31,0.013370781402887217,0.0143,0.0010000000000000009
2004-11-30,-0.0006678569671057758,-0.024900000000000002,0.0034000000000000002
2004-12-31,0.010596604287329985,0.0234,0.0006999999999999992
2005-01-31,0.004151833290025548,0.028399999999999998,-0.0023
2005-02-28,0.001038425454467726,-0.014400000000000001,0.0016000000000000007
2005-03-31,-0.021211807061258452,-0.0093,-0.005300000000000001
2005-04-30,0.004989901298805525,0.0352,-0.0046
2005-05-31,0.009671200381592051,0.0273,-0.00020000000000000226
2005-06-30,0.010191075476658356,0.0144,-0.0026
2005-07-31,-0.0004898103335060618,-0.0312,0.004399999999999998
2005-08-31,0.0036337119364121344,0.030300000000000004,-0.010000000000000002
2005-09-30,-0.012468459179541142,-0.036699999999999997,0.002799999999999997
2005-10-31,-0.014137218003731888,-0.0223,-0.0008000000000000021
2005-11-30,0.003702816966613532,0.0045000000000000005,0.002300000000000001
2005-12-31,0.005699562519554174,0.0235,-0.004200000000000002
2006-01-31,0.0026823180091738058,-0.0153,0.0025000000000000005
2006-02-28,0.0021244215468778247,0.0204,-0.011000000000000001
2006-03-31,-0.005319508836349092,-0.057600000000000005,0.013500000000000005
2006-04-30,-0.0030343252340432427,-0.0283,0.0023
2006-05-31,-0.0005727730260296701,-0.0033,-0.003
2006-06-30,-0.008187174750353361,0.0052,-0.0053
2006-07-31,0.009872846086469819,0.0159,0.003799999999999998
2006-08-31,0.01191761492018802,0.0257,0.006200000000000001
2006-09-30,0.008651005408288916,0.012900000000000002,0.001299999999999999
2006-10-31,0.004576020933341664,0.0036,0.004999999999999999
2006-11-30,0.012621768722680376,0.0165,0.0039000000000000007
2006-12-31,-0.0022339516934923036,-0.0276,0.00040000000000000105
2007-01-31,-0.0019181644771355936,-0.014600000000000002,0.0051
2007-02-28,0.012474503791324445,0.0297,-0.004800000000000002
2007-03-31,-0.00523636906328625,-0.0188,-0.008599999999999998
2007-04-30,0.004459665964862618,0.0041,0.0055
2007-05-31,-0.005745120027154775,-0.0241,0.0022000000000000006
2007-06-30,-0.012584848974766666,-0.0131,-0.0057
2007-07-31,-0.0130990776594625,0.0244,-0.0316
2007-08-31,0.005921110649754229,0.015700000000000002,-0.004700000000000001
2007-09-30,0.008683270787065347,-0.002,0.0123
2007-10-31,0.009034522585514739,0.0123,-0.006699999999999999
2007-11-30,-0.010395771249001325,0.0434,-0.038900000000000004
2007-12-31,-0.0051553178877876485,-0.0056,0.0057
2008-01-31,0.00749575609306477,0.0192,-0.0196
2008-02-29,-0.006422707145344845,0.0005,-0.0089
2008-03-31,-0.007743375744182059,0.0089,-0.0165
2008-04-30,0.01898221416031378,-0.0306,0.0379
2008-05-31,-0.0021838586807414553,-0.0182,-0.011299999999999998
2008-06-30,-0.018369127633951706,0.0203,-0.0281
2008-07-31,-0.00972449699915432,-0.004,-0.0084
2008-08-31,0.0076078104510632506,0.0229,-0.0121
2008-09-30,-0.07787014041235771,0.0097,-0.0975
2008-10-31,-0.07560739102451722,-0.0391,-0.006699999999999998
2008-11-30,-0.00782967921029354,0.14400000000000002,-0.026900000000000007
2008-12-31,0.08595776524505637,0.0967,0.059300000000000005
2009-01-31,0.031865805574529844,-0.1124,0.0175
2009-02-28,-0.02501251649456475,-0.0057,-0.0252
2009-03-31,0.016802465685374218,0.0639,-0.0659
2009-04-30,0.07554560594768703,-0.065,0.0619
2009-05-31,0.05482543780268146,-0.0248,0.0737
2009-06-30,0.03632957577100343,0.0082,0.0267
2009-07-31,0.04048253710955264,0.0018,0.0546
2009-08-31,0.031962715759771804,0.023,0.00040000000000000105
2009-09-30,0.03733511836322977,0.0175,0.0097
2009-10-31,0.010807327168423754,-0.0171,0.0187
2009-11-30,0.0191625537489054,0.0208,-0.016399999999999998
2009-12-31,0.007202642558523306,-0.0585,0.0309
2010-01-31,0.019336952171574884,0.0264,-0.016800000000000002
2010-02-28,0.00488359605763603,0.0032,0.0006999999999999997
2010-03-31,0.013206241111370557,-0.018,0.0224
2010-04-30,0.019825887609458408,0.0303,0.005300000000000003
2010-05-31,-0.006939347451206146,0.0436,-0.0488
2010-06-30,0.014811791385116157,0.0445,0.007300000000000001
2010-07-31,0.02195737031888423,0.0023,0.014600000000000002
2010-08-31,0.015842581397433636,0.0701,-0.022899999999999997
2010-09-30,0.012573612301857834,-0.015399999999999999,0.0008999999999999998
2010-10-31,0.0074246172477419135,-0.0318,0.0114
2010-11-30,-0.0064918195955358145,-0.0138,0.008
2010-12-31,-0.005093418098124511,-0.038900000000000004,0.0352
2011-01-31,0.012543698681703902,-0.0197,-0.00020000000000000226
2011-02-28,0.006979891975573123,0.0112,0.004399999999999999
2011-03-31,0.002178614834322674,-0.0007,-0.0066
2011-04-30,0.0155844548603853,0.0199,0.004
2011-05-31,0.012865538970913172,0.0355,-0.009799999999999996
2011-06-30,-0.005023031112327915,-0.0179,-0.003100000000000002
2011-07-31,0.015285405449225761,0.0422,0.0051
2011-08-31,-0.0026978183843790076,0.0861,-0.0622
2011-09-30,-0.005918426005028632,0.0704,-0.012900000000000002
2011-10-31,0.02367715187761436,-0.0306,0.04
2011-11-30,-0.011269732323348245,0.0251,-0.060700000000000004
2011-12-31,0.019292595301104467,0.027,0.024200000000000003
2012-01-31,0.02343759069277273,0.0002,0.019200000000000002
2012-02-29,0.013806205470557222,-0.0196,0.0253
2012-03-31,-0.0038795511449682867,-0.0302,-9.99999999999994e-05
2012-04-30,0.011853186274709715,0.0409,-0.015799999999999998
2012-05-31,0.00252009987758897,0.0642,-0.029899999999999996
2012-06-30,0.009902436833654073,-0.0136,0.02
2012-07-31,0.022801340755721176,0.0247,0.0365
2012-08-31,0.0026768545271022974,-0.0069,-0.0024999999999999996
2012-09-30,0.011156051939464558,-0.0147,0.002
2012-10-31,0.007906746167417667,-0.0015,0.022
2012-11-30,0.0016574856381778406,0.0143,-0.0236
2012-12-31,0.004985550825104481,-0.0203,0.013999999999999999
2013-01-31,-0.00020649400541217217,-0.0332,0.001899999999999999
2013-02-28,0.007426404574608431,0.0114,-0.002100000000000001
2013-03-31,0.005207190364472198,-0.0062,0.004399999999999999
2013-04-30,0.019429945451253237,0.0378,-0.0029
2013-05-31,-0.017278971436382042,-0.0629,0.009299999999999996
2013-06-30,-0.027916352029012447,-0.0285,-0.0086
2013-07-31,0.010981866113637813,-0.0173,0.020399999999999998
2013-08-31,-0.005831668555884347,-0.0079,0.0005000000000000004
2013-09-30,0.007998597283846571,0.0061,-0.0047
2013-10-31,0.016786980205539963,0.0128,0.0083
2013-11-30,-0.0004506827389097725,-0.0236,0.015
2013-12-31,0.002027528063532275,-0.0207,0.0209
2014-01-31,0.014623986762298981,0.0548,-0.021700000000000004
2014-02-28,0.01176773197344559,0.0074,0.009399999999999999
2014-03-31,0.0028426730208556475,0.0063,-0.00010000000000000026
2014-04-30,0.010334077286402503,0.0181,-0.002100000000000001
2014-05-31,0.013097999562246995,0.0279,-0.0091
2014-06-30,0.0037003586097722656,-0.0025,0.0045000000000000005
2014-07-31,-0.0022139501912773734,0.0057,-0.0033000000000000004
2014-08-31,0.013036828927930254,0.0369,-0.0013000000000000025
2014-09-30,-0.014075196865134287,-0.017,-0.010099999999999998
2014-10-31,0.009319569415956675,0.03,-0.0075
2014-11-30,0.0008972571236417248,0.0286,-0.011300000000000001
2014-12-31,-0.0031216266710486925,0.029,-0.010700000000000001
2015-01-31,0.02247595306428238,0.0709,-0.011000000000000003
2015-02-28,5.640829916663167e-05,-0.0523,0.0203
2015-03-31,0.001388932334111227,0.0137,-0.0079
2015-04-30,-0.0008379460050266701,-0.025,0.002700000000000001
2015-05-31,-0.005251154352000882,-0.0159,-0.0045000000000000005
2015-06-30,-0.015955103684149687,-0.0298,-0.0022000000000000006
2015-07-31,0.0012292430725443686,0.0329,-0.008999999999999998
2015-08-31,-0.008402589033785535,0.0012,-0.0079
2015-09-30,-0.00245640738356421,0.0174,-0.0040999999999999995
2015-10-31,0.01049596786931161,-0.0053,0.0073
2015-11-30,-0.009039858479858639,-0.0065,0.0085
2015-12-31,-0.014329950345756381,-0.0023,0.0022
2016-01-31,-0.006688645109195099,0.0475,-0.040900000000000006
2016-02-29,0.008421489936591189,0.0292,-0.006200000000000001
2016-03-31,0.04052309094322883,-0.0005,0.0426
2016-04-30,0.025427789311671545,-0.0054,0.0199
2016-05-31,0.003908582356413564,0.008100000000000001,-0.006600000000000001
2016-06-30,0.024500816052413874,0.0588,-0.0213
2016-07-31,0.014795651632047215,0.007899999999999999,0.0164
2016-08-31,0.010667017674273785,-0.0142,0.015600000000000001
2016-09-30,0.002141903618196773,-0.0126,0.0004999999999999987
2016-10-31,-0.005256759488863416,-0.031599999999999996,0.005099999999999997
2016-11-30,-0.021505793050883293,-0.060000000000000005,0.008900000000000005
2016-12-31,0.008109976627787311,-0.006,0.0116
2017-01-31,0.006255594371446205,0.0039,-0.0063999999999999994
2017-02-28,0.010599347178817428,0.013300000000000001,0.0075
2017-03-31,-0.0027175434032036976,-0.0043,-0.0021999999999999997
2017-04-30,0.010476383827898325,0.014,0.0031000000000000003
2017-05-31,0.00894854873202679,0.015200000000000002,0.006799999999999997
2017-06-30,0.0034521761916784664,-0.0015999999999999999,0.011800000000000001
2017-07-31,0.005889336903828844,-0.0034000000000000002,0.0087
2017-08-31,0.004176228363999078,0.027999999999999997,-0.0136
2017-09-30,-0.00025695991225831,-0.021400000000000002,0.016800000000000002
2017-10-31,0.0025997691074689387,-0.0021999999999999997,0.0089
2017-11-30,-0.0009656918161759351,0.0028,-0.0015999999999999999
2017-12-31,0.0051613818072344655,0.009300000000000001,0.0154
2018-01-31,-0.0052063032795903255,-0.0326,0.0072000000000000015
2018-02-28,-0.015277387392704428,-0.0235,-0.008900000000000002
2018-03-31,2.7848277011494548e-05,0.0247,-0.0135
2018-04-30,-0.006095706954507516,-0.0191,-0.0023
2018-05-31,0.004210985658020406,0.015000000000000001,-0.002400000000000001
2018-06-30,-0.004293440948968489,-0.0007,-0.013099999999999999
2018-07-31,0.005687893352299316,-0.014700000000000001,0.0232
2018-08-31,0.004549735324307305,0.0136,-0.0094
2018-09-30,-0.004188728387295913,-0.0533,0.0398
2018-10-31,-0.01531441051623089,-0.0223,-0.0119
2018-11-30,-0.005227149415259849,0.0487,-0.0434
2018-12-31,0.00391738608066813,0.0462,-0.011099999999999999
2019-01-31,0.023647486261051967,0.005900000000000001,0.0197
2019-02-28,0.004182694535683273,-0.0109,0.0017000000000000001
2019-03-31,0.01996421070241934,0.0428,0.0038000000000000048
2019-04-30,0.00499098709793421,-0.0147,0.0037
2019-05-31,0.0069927477600844785,0.0509,-0.015399999999999997
2019-06-30,0.02202613812674963,0.0086,0.0233
2019-07-31,0.003989867722732732,0.0004999999999999998,0.006
2019-08-31,0.02344879365643567,0.07809999999999999,-0.005899999999999989
2019-09-30,-0.006954237585743487,-0.020999999999999998,0.0001999999999999988
2019-10-31,0.0016839533781654898,-0.006699999999999999,0.0058
2019-11-30,0.0043411877859099845,-0.0070999999999999995,0.0073
2019-12-31,0.006243520453310689,-0.026699999999999998,0.016399999999999998
2020-01-31,0.01682305733514361,0.061900000000000004,-0.011300000000000004
2020-02-29,0.0036146546327038434,0.0576,-0.030799999999999998
2020-03-31,-0.08792991868410946,0.0613,-0.09759999999999999
2020-04-30,0.06078207111038604,0.0082,0.026500000000000003
2020-05-31,0.02445323511936155,-0.0098,0.018099999999999998
2020-06-30,0.02422364115483809,0.0022,0.0123
2020-07-31,0.033945622374430835,0.0286,0.032299999999999995
2020-08-31,-0.0058257833281005885,-0.035,-0.013900000000000003
2020-09-30,-0.003692512007596486,0.0079,-0.0039
2020-10-31,-0.00019457727520705862,-0.0239,0.004800000000000002
2020-11-30,0.032095784681624856,0.0092,0.0416
2020-12-31,0.009873568058958794,-0.0116,0.0115
2021-01-31,-0.004402282515766772,-0.0304,-0.0026999999999999975
2021-02-28,-0.015390355376592989,-0.0581,0.0179
2021-03-31,-0.010111788128400728,-0.0322,-0.0008000000000000021
2021-04-30,0.012018462985921926,0.0238,-0.0016000000000000007
2021-05-31,0.006211671265683544,0.0001,0.004399999999999999
2021-06-30,0.016212204940791355,0.0284,0.0158
2021-07-31,0.012310758478193374,0.0305,-0.006599999999999998
2021-08-31,-0.0017713516032581687,-0.0035,-0.0009999999999999996
2021-09-30,-0.008695601093347742,-0.025,0.005600000000000001
2021-10-31,0.002281218121188771,0.0051,0.0108
2021-11-30,-0.0013409129335465431,0.020900000000000002,-0.011600000000000001
2021-12-31,0.0008994756691628933,-0.011,-0.0019000000000000006
2022-01-31,-0.029007497444521347,-0.0189,-0.0148
2022-02-28,-0.02040958460480381,-0.0066,-0.0134
2022-03-31,-0.02254576431126882,-0.0312,0.005899999999999999
2022-04-30,-0.04906674438318213,-0.0311,-0.0237
2022-05-31,0.00664795094982062,0.0015,0.0075
2022-06-30,-0.031704754464179294,-0.0094,-0.019200000000000002
2022-07-31,0.03600802299241143,0.0151,0.016499999999999997
2022-08-31,-0.027650711013184934,-0.026699999999999998,-0.0045000000000000005
2022-09-30,-0.05380178059698735,-0.0364,-0.018099999999999998
2022-10-31,-0.012665061230588158,-0.0162,0.003599999999999999
2022-11-30,0.042612749157038395,0.0239,0.024999999999999998
2022-12-31,-0.0037837316122672823,-0.0085,0.0007999999999999995
2023-01-31,0.03422005532807074,0.0216,0.014999999999999996
2023-02-28,-0.0333311438588631,-0.0268,-0.008400000000000001
2023-03-31,0.022229228138635496,0.0253,-0.0011000000000000003
2023-04-30,0.005600406287288394,0.0019000000000000002,0.0023
2023-05-31,-0.02032553180361628,-0.015199999999999998,-0.0029000000000000015
2023-06-30,0.0015828774331756437,-0.0115,0.0116
2023-07-31,0.0008150193995295294,-0.008,0.0069
2023-08-31,-0.011680052462675039,-0.0097,-0.0026
2023-09-30,-0.029768278679907376,-0.0264,-0.0046
2023-10-31,-0.02368278031330781,-0.0168,-0.006600000000000002
2023-11-30,0.05512160478113877,0.0303,0.025099999999999997
2023-12-31,0.04151406447693713,0.029400000000000003,0.0097
2024-01-31,-0.0070296030621448714,-0.0075,0.0011
2024-02-29,-0.01844732899997214,-0.0173,-0.001899999999999999
2024-03-31,0.008975174510815899,0.0021000000000000003,0.0065
2024-04-30,-0.02981549748509686,-0.028,-0.0020999999999999977
2024-05-31,0.011677670759800517,0.0102,0.004100000000000001
2024-06-30,0.006142860680740412,0.005999999999999999,-0.0036999999999999993
2024-07-31,0.015801718069860863,0.0174,0.0019000000000000024
2024-08-31,0.01622194071616039,0.008,0.002899999999999998
2024-09-30,0.012526054173410232,0.008,0.0057
2024-10-31,-0.028448969593085037,-0.027700000000000002,-0.000499999999999997
2024-11-30,0.008430163804642687,0.0037999999999999996,0.005600000000000001
2024-12-31,-0.02045202368248492,-0.0191,-0.004
